''head'';884218:(1,1.0,[3])
'hous;882205:(1,1.0,[104])
'i;882205:(2,1.3,[138, 219]);883264:(1,1.0,[11]);884269:(1,1.0,[7])
'i'll;882276:(1,1.0,[33])
'i'm;883851:(1,1.0,[173])
'impressionistic';883124:(1,1.0,[121])
'into;885046:(1,1.0,[22])
'it';882205:(1,1.0,[277])
'italian;885197:(1,1.0,[27])
'jason;882205:(1,1.0,[84])
'john;882205:(2,1.3,[43, 362])
'joy;884182:(1,1.0,[6])
'kiss;882205:(1,1.0,[119])
'lack;882205:(1,1.0,[211])
'late;882220:(1,1.0,[361])
'life;882205:(4,1.6,[54, 233, 315, 324])
'live;883333:(1,1.0,[9])
'live';883433:(1,1.0,[11])
'lost;882220:(2,1.3,[1049, 1584])
'love;883620:(1,1.0,[24])
'ma;884904:(1,1.0,[15])
'macho;883851:(1,1.0,[6])
'madcap;882220:(2,1.3,[330, 363])
'mind';882758:(1,1.0,[89])
'music;883851:(1,1.0,[57])
'n';882473:(1,1.0,[2]);884281:(1,1.0,[2]);885764:(1,1.0,[2])
'neoclass;882758:(1,1.0,[80])
'new;883851:(1,1.0,[342])
'no;882220:(2,1.3,[355, 358])
'noisy';882351:(1,1.0,[26])
'nother;885497:(1,1.0,[32])
'nuff;884520:(1,1.0,[10])
'o;882491:(1,1.0,[0])
'oblivion';882205:(1,1.0,[198])
'old';884285:(1,1.0,[21])
'outta;884755:(1,1.0,[31])
'parad;882205:(1,1.0,[63])
'pat;884182:(1,1.0,[14])
'peel;882220:(1,1.0,[318])
'perfect';883124:(1,1.0,[148])
'pink;882220:(1,1.0,[589])
'pink';882220:(2,1.3,[990, 1525])
'piper;882220:(2,1.3,[138, 320])
'rats';882220:(1,1.0,[350])
'real';884237:(1,1.0,[144])
'rebels';882758:(1,1.0,[55])
'research;884994:(1,1.0,[42])
'romantic';883124:(1,1.0,[120])
'round;884287:(1,1.0,[1]);885110:(1,1.0,[2])
's;881930:(1,1.0,[82]);882002:(1,1.0,[12]);884475:(1,1.0,[20]);885699:(1,1.0,[8])
'sanibel;883459:(2,1.3,[17, 30])
'saucer;882220:(2,1.3,[671, 1207])
'scream;882220:(1,1.0,[311])
'secret;882205:(1,1.0,[76])
'see;882220:(1,1.0,[568])
'sgt;882220:(1,1.0,[415])
'shanghai;883920:(1,1.0,[4])
'she;881938:(1,1.0,[16])
'she';885912:(1,1.0,[22])
'show;882334:(1,1.0,[50])
'sing';884756:(1,1.0,[20])
'singer;883490:(1,1.0,[67])
'sleep;883920:(1,1.0,[7])
'squar;883851:(1,1.0,[348])
'steven';883818:(2,1.3,[298, 416])
'strangled';883851:(1,1.0,[124])
'string;885912:(1,1.0,[7])
'suitabl;884174:(1,1.0,[7])
'sung';882077:(1,1.0,[21])
'sunset;881918:(1,1.0,[12])
'swing;885932:(1,1.0,[3])
'the;882205:(2,1.3,[167, 358]);882220:(6,1.78,[468, 473, 966, 1079, 1502, 1614]);882597:(1,1.0,[7]);884089:(1,1.0,[1]);884994:(1,1.0,[45])
'they;882205:(2,1.3,[87, 354])
'those';882014:(1,1.0,[49])
'til;882500:(1,1.0,[0])
'title';883376:(1,1.0,[10])
'trauma;882205:(1,1.0,[102])
'twa;883157:(1,1.0,[0])
'two;882205:(1,1.0,[306]);882220:(1,1.0,[315])
've;882166:(1,1.0,[3])
'veget;882220:(1,1.0,[309])
'visions';883620:(1,1.0,[23])
'watch;883851:(1,1.0,[182])
'wave;882220:(1,1.0,[344])
'way;883557:(1,1.0,[14])
'we;882205:(1,1.0,[183])
'what;882220:(2,1.3,[800, 1336])
'wish;882220:(2,1.3,[939, 1475])
'woah;885391:(1,1.0,[22])
'wolfpack';882220:(1,1.0,[343])
'x';885245:(1,1.0,[0])
'xanadu';882594:(1,1.0,[22])
'yes';884599:(1,1.0,[8])
'your;883818:(2,1.3,[296, 414])
'zine;883851:(1,1.0,[131])
00;882947:(1,1.0,[64]);883973:(1,1.0,[22]);884156:(1,1.0,[17]);885032:(1,1.0,[16])
000;884838:(1,1.0,[1])
001;885748:(1,1.0,[0])
01;882480:(1,1.0,[0]);883775:(1,1.0,[0]);884477:(1,1.0,[0]);884889:(1,1.0,[37]);885936:(2,1.3,[0, 15]);885977:(1,1.0,[0])
02;882947:(1,1.0,[42]);884144:(1,1.0,[1])
03;881903:(1,1.0,[2]);884519:(1,1.0,[7]);884889:(1,1.0,[51])
04;883046:(1,1.0,[0]);883270:(1,1.0,[240]);883409:(1,1.0,[200])
05;885936:(2,1.3,[1, 16])
06;881903:(1,1.0,[3]);882667:(1,1.0,[0]);882947:(1,1.0,[139]);884889:(1,1.0,[61])
0602537618583;883409:(1,1.0,[92])
07;882947:(1,1.0,[158]);884889:(1,1.0,[75])
08;882947:(1,1.0,[128]);884889:(1,1.0,[92])
1';883571:(1,1.0,[1]);883851:(1,1.0,[349])
10;882142:(1,1.0,[14]);882211:(1,1.0,[72]);882300:(1,1.0,[47]);882355:(1,1.0,[10]);882361:(2,1.3,[5, 27]);882370:(1,1.0,[18]);882651:(2,1.3,[26, 27]);882780:(2,1.3,[61, 62]);882947:(2,1.3,[94, 111]);882965:(1,1.0,[433]);883074:(1,1.0,[13]);883224:(1,1.0,[18]);883270:(21,2.32,[4, 30, 62, 89, 112, 140, 163, 195, 208, 230, 272, 297, 327, 348, 375, 406, 438, 468, 502, 532, 567]);883296:(1,1.0,[8]);883409:(2,1.3,[108, 204]);883443:(1,1.0,[22]);883536:(1,1.0,[122]);883542:(1,1.0,[47]);883560:(1,1.0,[100]);883618:(1,1.0,[129]);883750:(2,1.3,[32, 37]);883893:(1,1.0,[140]);884277:(1,1.0,[1]);884586:(1,1.0,[6]);884625:(1,1.0,[47]);884733:(1,1.0,[26]);884800:(1,1.0,[8]);884838:(1,1.0,[0]);884889:(1,1.0,[234]);885170:(2,1.3,[403, 432]);885211:(1,1.0,[4]);885270:(1,1.0,[26]);885586:(1,1.0,[48]);885700:(1,1.0,[10]);885983:(1,1.0,[14])
100;881939:(1,1.0,[2]);882220:(2,1.3,[751, 1287]);882240:(1,1.0,[0]);882338:(3,1.48,[0, 4, 6]);882358:(1,1.0,[62]);882423:(1,1.0,[1]);882699:(1,1.0,[18]);882883:(1,1.0,[1]);882939:(1,1.0,[9]);882946:(1,1.0,[0]);882986:(1,1.0,[0]);883211:(1,1.0,[0]);883270:(1,1.0,[201]);883376:(1,1.0,[28]);883893:(2,1.3,[1250, 1913]);884192:(2,1.3,[205, 330]);884438:(1,1.0,[24]);884687:(1,1.0,[20]);884700:(1,1.0,[21]);884774:(1,1.0,[71]);884797:(1,1.0,[20]);885410:(1,1.0,[123]);885464:(1,1.0,[80]);885531:(1,1.0,[0]);885833:(1,1.0,[0]);886008:(1,1.0,[31])
1000;885412:(1,1.0,[1])
1000';885903:(1,1.0,[2])
100tune;885833:(1,1.0,[16])
101;883192:(1,1.0,[61]);883893:(2,1.3,[1261, 1923]);886019:(1,1.0,[0])
1012;884586:(1,1.0,[4])
102;883893:(2,1.3,[1279, 1941])
103;883893:(2,1.3,[1291, 1953])
10300328;883270:(1,1.0,[91])
104;883893:(2,1.3,[1304, 1966]);885410:(2,1.3,[110, 129])
1048;883893:(1,1.0,[358])
105;883893:(2,1.3,[1317, 1978])
106;883893:(2,1.3,[1326, 1987])
1068;883893:(1,1.0,[291])
107;883893:(2,1.3,[1341, 2002])
108;883893:(2,1.3,[1352, 2013])
109;882305:(2,1.3,[31, 101]);883893:(3,1.48,[195, 1366, 2027])
10min;882103:(1,1.0,[39])
10th;884587:(1,1.0,[2])
11;882108:(1,1.0,[49]);882168:(1,1.0,[67]);882254:(1,1.0,[12]);882561:(1,1.0,[11]);882947:(1,1.0,[100]);882965:(1,1.0,[493]);883409:(4,1.6,[126, 133, 223, 229]);883618:(2,1.3,[142, 193]);883652:(1,1.0,[11]);883893:(3,1.48,[156, 1768, 2428]);883973:(1,1.0,[21]);884156:(1,1.0,[16]);884269:(1,1.0,[30]);884603:(1,1.0,[64]);884889:(1,1.0,[107]);885347:(3,1.48,[7, 8, 9]);885410:(1,1.0,[231]);885427:(1,1.0,[30]);885487:(1,1.0,[137]);885750:(1,1.0,[28])
110;883893:(2,1.3,[1374, 2035])
111;882189:(1,1.0,[0]);882258:(1,1.0,[0]);882260:(1,1.0,[0]);882473:(1,1.0,[0]);882600:(1,1.0,[0]);882704:(1,1.0,[0]);882975:(2,1.3,[0, 15]);883677:(1,1.0,[0]);883722:(1,1.0,[0]);883748:(1,1.0,[0]);883845:(1,1.0,[0]);883893:(1,1.0,[1384]);883971:(1,1.0,[0]);884281:(1,1.0,[0]);885764:(1,1.0,[0])
111edvard;883893:(1,1.0,[2045])
112;883893:(2,1.3,[1396, 2056])
113;883893:(2,1.3,[1406, 2066])
114;883893:(3,1.48,[65, 1416, 2076])
115;883893:(2,1.3,[1430, 2090])
116;882917:(1,1.0,[3]);883893:(2,1.3,[1438, 2098])
117;883618:(1,1.0,[251]);883893:(4,1.6,[417, 701, 1450, 2110])
118;883409:(1,1.0,[121]);883893:(2,1.3,[1458, 2118])
119;883893:(2,1.3,[1468, 2128])
11hr;885418:(1,1.0,[26])
12;881912:(2,1.3,[12, 13]);882129:(1,1.0,[15]);882150:(2,1.3,[7, 8]);882168:(1,1.0,[62]);882174:(1,1.0,[6]);882458:(2,1.3,[116, 120]);882701:(1,1.0,[22]);882881:(1,1.0,[4]);882947:(1,1.0,[107]);882965:(1,1.0,[540]);883270:(20,2.3,[3, 29, 61, 88, 111, 139, 162, 194, 229, 271, 296, 326, 347, 374, 405, 437, 467, 501, 531, 566]);883321:(1,1.0,[5]);883409:(2,1.3,[146, 238]);883535:(2,1.3,[8, 20]);883570:(1,1.0,[0]);883618:(2,1.3,[156, 210]);883684:(1,1.0,[2]);883853:(1,1.0,[58]);883893:(3,1.48,[168, 1711, 2371]);884058:(2,1.3,[2, 4]);884505:(1,1.0,[9]);884512:(1,1.0,[83]);884564:(1,1.0,[2]);884660:(1,1.0,[12]);884842:(1,1.0,[18]);884889:(1,1.0,[130]);885003:(1,1.0,[13]);885034:(1,1.0,[1]);885166:(1,1.0,[0]);885384:(2,1.3,[0, 35]);885410:(1,1.0,[6]);885485:(3,1.48,[13, 14, 15]);885912:(1,1.0,[36]);886021:(1,1.0,[3])
120;883893:(2,1.3,[1479, 2139])
12015784;883270:(1,1.0,[142])
121;883893:(2,1.3,[1489, 2149])
122;883893:(2,1.3,[1499, 2159])
123;883893:(2,1.3,[1507, 2167])
124;883893:(2,1.3,[1518, 2178])
125;883893:(2,1.3,[1530, 2190])
125th;885027:(1,1.0,[28])
126;883893:(2,1.3,[1536, 2196])
127;883893:(2,1.3,[1547, 2207])
12767197;883270:(1,1.0,[350])
128;883893:(2,1.3,[1562, 2222])
129;883893:(2,1.3,[1572, 2232])
12th;881995:(1,1.0,[6]);882147:(2,1.3,[4, 10]);883770:(1,1.0,[5]);883818:(1,1.0,[105])
13;882150:(1,1.0,[9]);882758:(1,1.0,[51]);882917:(1,1.0,[0]);882947:(1,1.0,[113]);882965:(1,1.0,[587]);883297:(1,1.0,[9]);883409:(2,1.3,[164, 241]);883483:(6,1.78,[0, 37, 294, 343, 452, 501]);883618:(1,1.0,[171]);883893:(2,1.3,[27, 178]);883953:(1,1.0,[16]);884135:(1,1.0,[19]);884980:(1,1.0,[104]);885211:(1,1.0,[5]);885410:(1,1.0,[7]);885427:(1,1.0,[31])
130;883893:(2,1.3,[1580, 2240])
131;883893:(2,1.3,[1597, 2257])
132;883409:(1,1.0,[218]);883893:(2,1.3,[1607, 2267])
133;883893:(2,1.3,[1619, 2279])
134;883893:(2,1.3,[1630, 2290])
135;883893:(2,1.3,[1643, 2303])
136;883893:(3,1.48,[94, 1654, 2314])
137;883893:(2,1.3,[1661, 2321])
138;883893:(2,1.3,[1676, 2336])
139;883893:(2,1.3,[1691, 2351])
13th;882150:(1,1.0,[157])
14;881949:(1,1.0,[12]);882821:(2,1.3,[9, 105]);882947:(1,1.0,[119]);882965:(1,1.0,[611]);883409:(2,1.3,[176, 246]);883618:(2,1.3,[20, 187]);883651:(1,1.0,[3]);883893:(3,1.48,[188, 369, 596]);883983:(1,1.0,[9]);885080:(1,1.0,[7]);885410:(1,1.0,[217]);885487:(1,1.0,[254])
140;883893:(2,1.3,[1698, 2358])
140542729;883270:(1,1.0,[507])
141;883893:(2,1.3,[1704, 2364])
142;883893:(2,1.3,[1713, 2373])
143;883893:(2,1.3,[1720, 2380])
144;883893:(2,1.3,[1728, 2388])
145;883893:(4,1.6,[1244, 1734, 1907, 2394])
146;883893:(2,1.3,[1747, 2407])
147;883893:(2,1.3,[1753, 2413])
148;883893:(2,1.3,[1761, 2421])
149;883893:(2,1.3,[1770, 2430])
15;882150:(1,1.0,[363]);882353:(1,1.0,[11]);882857:(1,1.0,[8]);882915:(1,1.0,[31]);882947:(2,1.3,[52, 124]);882965:(1,1.0,[658]);883409:(2,1.3,[180, 232]);883618:(4,1.6,[149, 203, 272, 309]);883672:(1,1.0,[0]);883821:(1,1.0,[57]);883893:(4,1.6,[56, 201, 209, 402]);884192:(1,1.0,[113]);884458:(1,1.0,[9]);884621:(1,1.0,[11]);884955:(1,1.0,[49]);884998:(1,1.0,[3]);885063:(1,1.0,[1]);885410:(1,1.0,[232]);885555:(1,1.0,[7])
150;883893:(3,1.48,[0, 1780, 2440])
1505848525;884028:(1,1.0,[59])
151;885577:(1,1.0,[2])
1564;884943:(1,1.0,[83])
15a;883893:(2,1.3,[1113, 1786])
15th;884525:(1,1.0,[21])
16;881886:(1,1.0,[27]);882238:(1,1.0,[10]);882279:(1,1.0,[21]);882411:(1,1.0,[3]);882947:(1,1.0,[130]);882965:(1,1.0,[692]);883120:(1,1.0,[22]);883349:(1,1.0,[13]);883380:(1,1.0,[11]);883409:(2,1.3,[150, 260]);883618:(1,1.0,[215]);883781:(1,1.0,[1]);883893:(2,1.3,[205, 213]);883913:(2,1.3,[3, 7]);884322:(1,1.0,[2]);884889:(1,1.0,[232]);884900:(1,1.0,[28]);885564:(1,1.0,[18])
1606;884943:(1,1.0,[100])
161;883893:(1,1.0,[253])
1626;884943:(1,1.0,[84])
164;883893:(1,1.0,[224])
16525851;883270:(1,1.0,[274])
166;883409:(1,1.0,[275])
16889692;883270:(1,1.0,[165])
16th;882150:(1,1.0,[159])
17;882870:(1,1.0,[16]);882876:(1,1.0,[0]);882947:(1,1.0,[135]);882965:(1,1.0,[744]);882990:(1,1.0,[40]);883110:(1,1.0,[8]);883409:(3,1.48,[183, 224, 263]);883618:(1,1.0,[224]);883893:(1,1.0,[226]);884352:(1,1.0,[2]);885410:(1,1.0,[567]);885464:(1,1.0,[131]);885683:(1,1.0,[70])
1739;882108:(1,1.0,[15])
1778;882150:(1,1.0,[352])
178;883893:(2,1.3,[1270, 1932])
1784;882150:(1,1.0,[103])
1787;882150:(1,1.0,[450])
1791;885410:(2,1.3,[204, 551])
18;881958:(2,1.3,[74, 104]);882382:(1,1.0,[5]);882633:(1,1.0,[24]);882700:(1,1.0,[1]);882947:(1,1.0,[141]);883409:(2,1.3,[127, 187]);883618:(1,1.0,[236]);883893:(1,1.0,[244]);884255:(1,1.0,[43]);885012:(1,1.0,[2]);885410:(1,1.0,[568])
1812;885297:(1,1.0,[0])
182;885102:(3,1.48,[4, 10, 16])
183;883893:(1,1.0,[720])
19;882129:(1,1.0,[18]);882386:(1,1.0,[4]);882947:(2,1.3,[86, 148]);883618:(1,1.0,[246]);883893:(1,1.0,[255]);884889:(1,1.0,[141]);885410:(1,1.0,[212])
1913;884192:(1,1.0,[75])
1919;882871:(1,1.0,[1])
1926;882633:(1,1.0,[22])
1930;882535:(1,1.0,[39]);884829:(1,1.0,[11])
1931;885790:(1,1.0,[63])
1935;882272:(1,1.0,[6])
1940;884204:(1,1.0,[33])
1940';883759:(1,1.0,[16])
1941;883376:(1,1.0,[42]);885936:(2,1.3,[2, 17])
1942;883405:(1,1.0,[1]);883641:(1,1.0,[107])
1947;885410:(1,1.0,[26])
1949;881903:(1,1.0,[4])
1950;884438:(1,1.0,[28])
19502308;883270:(1,1.0,[440])
1953;883933:(1,1.0,[12])
1957;883405:(1,1.0,[2])
1958;882368:(1,1.0,[11]);883933:(1,1.0,[11])
1959;882633:(1,1.0,[7]);883436:(1,1.0,[4]);884786:(1,1.0,[3])
1960;882443:(1,1.0,[44]);882951:(1,1.0,[101]);883116:(1,1.0,[37]);884209:(1,1.0,[7]);885487:(1,1.0,[37])
1960';884889:(1,1.0,[72])
1961;883436:(1,1.0,[5])
1963;882394:(2,1.3,[17, 153])
1964;882632:(1,1.0,[2]);883330:(1,1.0,[3]);883888:(1,1.0,[39])
1965;882633:(1,1.0,[9]);884786:(1,1.0,[4]);885164:(1,1.0,[6])
1966;884305:(1,1.0,[7])
1966';882220:(1,1.0,[399])
1967';882220:(1,1.0,[406])
1968;882018:(1,1.0,[56]);885410:(1,1.0,[213]);885487:(3,1.48,[16, 113, 404])
1969;882991:(1,1.0,[5]);883271:(1,1.0,[1]);884192:(2,1.3,[88, 89]);885271:(1,1.0,[104]);885410:(1,1.0,[569])
1970;882049:(1,1.0,[8]);882951:(1,1.0,[102]);884209:(1,1.0,[6]);884816:(1,1.0,[1]);884841:(1,1.0,[8]);884889:(1,1.0,[57]);885360:(1,1.0,[9]);885410:(1,1.0,[28])
1970';884217:(1,1.0,[50]);884607:(1,1.0,[8]);885463:(1,1.0,[16]);885504:(1,1.0,[32]);885817:(1,1.0,[4])
1971;882632:(1,1.0,[3]);884326:(1,1.0,[3])
1972;882991:(1,1.0,[12])
1973;882394:(2,1.3,[18, 154]);884943:(1,1.0,[42])
1974;882951:(1,1.0,[20]);883409:(1,1.0,[116])
1975;883409:(2,1.3,[213, 271])
1976;882138:(1,1.0,[9]);885645:(1,1.0,[2])
19760238;883270:(1,1.0,[299])
1977;883075:(1,1.0,[36])
1978;883851:(1,1.0,[122])
1979;884890:(1,1.0,[12])
1980;883830:(1,1.0,[1])
1980';882224:(1,1.0,[21]);885239:(1,1.0,[17]);885286:(1,1.0,[6])
1981;883271:(1,1.0,[2])
1982;883075:(1,1.0,[71])
1983;882992:(2,1.3,[0, 12]);884086:(1,1.0,[5]);884326:(1,1.0,[4])
1984;883270:(1,1.0,[585])
1985;884890:(1,1.0,[45])
1986;883294:(1,1.0,[6])
1987;883408:(1,1.0,[16])
1988;883409:(4,1.6,[142, 255, 456, 610]);883641:(1,1.0,[48]);886026:(1,1.0,[28])
1990;882534:(1,1.0,[11]);882979:(1,1.0,[94]);883219:(1,1.0,[5]);883641:(1,1.0,[51]);883830:(1,1.0,[2])
1990i;885804:(1,1.0,[18])
1991;884192:(1,1.0,[76])
1992;885733:(1,1.0,[3]);885765:(1,1.0,[5]);886026:(1,1.0,[33])
1993;882031:(1,1.0,[2]);882150:(1,1.0,[160])
1994;883781:(1,1.0,[13]);884943:(1,1.0,[55]);886026:(1,1.0,[36])
1995;883781:(1,1.0,[14]);884710:(1,1.0,[1])
1996;883409:(1,1.0,[172]);885064:(1,1.0,[4]);885216:(1,1.0,[3])
1997;886026:(1,1.0,[41])
1999;882498:(1,1.0,[7]);883300:(1,1.0,[4]);883409:(1,1.0,[157]);884790:(1,1.0,[2])
19th;883483:(1,1.0,[39])
1dvd;883409:(1,1.0,[65])
1minut;883650:(1,1.0,[3])
1q;885410:(1,1.0,[184])
1s;882583:(1,1.0,[2])
1st;881892:(2,1.3,[9, 14]);882150:(1,1.0,[330]);883142:(1,1.0,[5]);883653:(1,1.0,[31]);884204:(2,1.3,[25, 31]);885504:(1,1.0,[2]);885825:(1,1.0,[5])
20;881958:(1,1.0,[75]);882283:(1,1.0,[31]);882534:(1,1.0,[21]);882590:(1,1.0,[1]);882620:(1,1.0,[48]);882704:(1,1.0,[12]);882892:(1,1.0,[8]);882947:(2,1.3,[155, 181]);882949:(1,1.0,[9]);883021:(1,1.0,[5]);883177:(2,1.3,[2, 49]);883219:(2,1.3,[11, 21]);883325:(1,1.0,[2]);883618:(1,1.0,[255]);883803:(1,1.0,[2]);883893:(3,1.48,[273, 1445, 2105]);884144:(1,1.0,[2]);884200:(2,1.3,[2, 49]);884211:(1,1.0,[5]);884679:(1,1.0,[1]);884809:(1,1.0,[17]);884889:(1,1.0,[153]);885410:(2,1.3,[219, 563]);885792:(1,1.0,[35])
20';882689:(1,1.0,[14])
200;882062:(1,1.0,[118]);882838:(1,1.0,[7])
2000;885164:(1,1.0,[11]);885591:(1,1.0,[1])
2001;883134:(1,1.0,[1]);884801:(1,1.0,[1]);885343:(1,1.0,[4]);886026:(1,1.0,[46])
2002;882399:(1,1.0,[4]);882751:(1,1.0,[1]);883303:(1,1.0,[5]);883658:(1,1.0,[2]);884053:(1,1.0,[1]);884215:(1,1.0,[1]);884960:(1,1.0,[14]);885733:(1,1.0,[4]);885921:(1,1.0,[1])
2003;883143:(1,1.0,[2]);883425:(1,1.0,[12]);883821:(1,1.0,[3]);884304:(1,1.0,[7])
2004;882111:(1,1.0,[26]);883276:(1,1.0,[4]);883409:(1,1.0,[421]);883514:(1,1.0,[1]);884306:(1,1.0,[1])
2005;882436:(1,1.0,[1]);882529:(1,1.0,[2])
2006;882213:(1,1.0,[3]);882396:(1,1.0,[1]);882486:(1,1.0,[2]);885696:(1,1.0,[3]);886026:(1,1.0,[62])
2007;882193:(1,1.0,[1]);882827:(1,1.0,[10]);882895:(1,1.0,[1])
2008;882012:(1,1.0,[2]);882827:(1,1.0,[98]);883483:(2,1.3,[316, 474]);883586:(1,1.0,[65]);884497:(1,1.0,[2]);885171:(1,1.0,[112]);885569:(1,1.0,[1])
2008ish;885171:(1,1.0,[14])
2009;882201:(1,1.0,[7]);882882:(1,1.0,[23]);884523:(1,1.0,[3]);884959:(1,1.0,[26]);886026:(1,1.0,[74])
2010;882099:(1,1.0,[3]);882200:(1,1.0,[4]);882382:(1,1.0,[3]);883580:(1,1.0,[3]);883985:(1,1.0,[31]);884144:(1,1.0,[0]);884513:(1,1.0,[2]);884542:(1,1.0,[3]);884681:(1,1.0,[3]);884683:(1,1.0,[1]);884984:(4,1.6,[107, 123, 133, 190]);885073:(1,1.0,[2])
2011;882220:(1,1.0,[229]);882226:(1,1.0,[1]);882350:(1,1.0,[2]);882459:(1,1.0,[18]);882920:(1,1.0,[5]);883075:(1,1.0,[42]);883499:(1,1.0,[7]);885106:(1,1.0,[2]);885223:(1,1.0,[5]);885275:(1,1.0,[7]);885580:(1,1.0,[2]);885944:(1,1.0,[2])
2012;883297:(1,1.0,[8]);883409:(1,1.0,[343]);883499:(1,1.0,[8]);883662:(1,1.0,[2]);883760:(1,1.0,[36]);883819:(1,1.0,[18]);883900:(1,1.0,[14]);884288:(1,1.0,[12]);884733:(1,1.0,[29]);884736:(1,1.0,[71]);885557:(1,1.0,[7]);885682:(1,1.0,[2]);885683:(1,1.0,[71]);885737:(1,1.0,[2])
2013;881910:(1,1.0,[5]);881912:(1,1.0,[14]);881928:(2,1.3,[3, 11]);882040:(1,1.0,[64]);882364:(1,1.0,[3]);882524:(1,1.0,[3]);882677:(1,1.0,[5]);882706:(1,1.0,[1]);882870:(1,1.0,[3]);882934:(2,1.3,[5, 31]);882998:(2,1.3,[8, 60]);883021:(1,1.0,[8]);883193:(3,1.48,[3, 9, 177]);883216:(1,1.0,[4]);883270:(20,2.3,[2, 28, 60, 87, 110, 138, 161, 193, 228, 270, 295, 325, 346, 373, 404, 436, 466, 500, 530, 565]);883296:(1,1.0,[9]);883310:(1,1.0,[51]);883333:(2,1.3,[6, 76]);883380:(1,1.0,[14]);883409:(3,1.48,[84, 594, 748]);883760:(1,1.0,[42]);883819:(2,1.3,[11, 23]);884053:(1,1.0,[2]);884211:(1,1.0,[8]);884217:(1,1.0,[25]);884265:(1,1.0,[70]);884512:(1,1.0,[84]);884514:(3,1.48,[3, 10, 64]);884597:(1,1.0,[12]);884617:(2,1.3,[16, 22]);884693:(2,1.3,[26, 29]);884748:(3,1.48,[3, 8, 47]);884774:(1,1.0,[100]);884889:(1,1.0,[0]);884966:(1,1.0,[67]);885210:(1,1.0,[34]);885245:(3,1.48,[7, 22, 28]);886020:(2,1.3,[10, 19]);886026:(1,1.0,[84])
2014;882579:(1,1.0,[12]);882833:(1,1.0,[40]);883761:(1,1.0,[5]);883851:(1,1.0,[195]);884288:(1,1.0,[34]);885000:(1,1.0,[23])
201414;884534:(1,1.0,[21])
2016;884334:(1,1.0,[2])
20855206;883270:(1,1.0,[197])
209;883466:(1,1.0,[0])
2090;883409:(1,1.0,[274])
20th;882394:(1,1.0,[9]);882443:(1,1.0,[46]);882631:(1,1.0,[1]);883800:(2,1.3,[0, 26]);885001:(1,1.0,[25]);885064:(1,1.0,[14]);885711:(1,1.0,[0])
